step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
25000,0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
15000,0,0.0,0.0,0.0,0.0,0.0,0.0
15000,10,0.0,0.0,0.0,0.0,0.0,0.0
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
10000,10,0.0,0.0,0.0,0.0,0.0,0.0
5000,10,0.0,0.0,0.0,0.0,0.0,0.0
25000,10,0.0,0.0,0.0,0.0,0.0,0.0
20000,10,0.0,0.0,0.0,0.0,0.0,0.0
20000,20,0.0,0.0,0.0,0.0,0.0,0.0
25000,20,0.0,0.0,0.0,0.0,0.0,0.0
15000,20,0.0,0.0,0.0,0.0,0.0,0.0
5000,20,0.0,0.0,0.0,0.0,0.0,0.0
10000,20,0.0,0.0,0.0,0.0,0.0,0.0
10000,50,0.0,0.0,0.0,0.0,0.0,0.0
5000,100,0.0,0.0,0.0,0.0,0.0,0.0
15000,50,0.0,0.0,0.0,0.0,0.0,0.0
25000,50,0.0,0.0,0.0,0.0,0.0,0.0
5000,50,0.0,0.0,0.0,0.0,0.0,0.0
20000,50,0.0,0.0,0.0,0.0,0.0,0.0
10000,100,0.0,0.0,0.0,0.0,0.0,0.0
20000,100,0.0,0.0,0.0,0.0,0.0,0.0
15000,100,0.0,0.0,0.0,0.0,0.0,0.0
25000,100,0.0,0.0,0.0,0.0,0.0,0.0
5000,200,0.0,0.0,0.0,0.0,0.0,0.0
20000,200,0.0,0.0,0.0,0.0,0.0,0.0
15000,200,0.0,0.0,0.0,0.0,0.0,0.0
25000,200,0.0,0.0,0.0,0.0,0.0,0.0
10000,200,0.0,0.0,0.0,0.0,0.0,0.0
